file,category,source_title,author,source_url,license,decision,final_usage,edit_instruction,review_note
01_antiphona_clean_a.mp3,piety_ready_candidate,Schola Gregoriana - Antiphona et Magnificat,Schola Gregoriana / Dariusz Smolarek,https://commons.wikimedia.org/wiki/File:Schola_Gregoriana-Antiphona_et_Magnificat.ogg,CC-BY-SA-3.0,rejected,,用户选择 05,未采用
02_antiphona_clean_b.mp3,piety_ready_candidate,Schola Gregoriana - Antiphona et Magnificat,Schola Gregoriana / Dariusz Smolarek,https://commons.wikimedia.org/wiki/File:Schola_Gregoriana-Antiphona_et_Magnificat.ogg,CC-BY-SA-3.0,rejected,,用户选择 05,未采用
03_ave_maria_clean.mp3,piety_ready_candidate,Schola Gregoriana - Ave Maria,Schola Gregoriana / Dariusz Smolarek,https://commons.wikimedia.org/wiki/File:Schola_Gregoriana-Ave_Maria.ogg,CC-BY-SA-3.0,rejected,,用户选择 05,未采用
04_church_spain_short.mp3,piety_ready_candidate,Gregorian Chant in a Church in spain,Elmer_Tom,https://freesound.org/s/787598/,CC0,rejected,,用户选择 05,未采用
05_stabat_mater_clean.mp3,ability_piety_ready,Stabat Mater - Capella Ducis 130525_13.wav,klankbeeld / Capella Ducis,https://freesound.org/s/191675/,CC-BY-NC-3.0,confirmed,piety_ready_sacred_chant,原录音 00:13-00:18；总长 5 秒；末尾 1.5 秒自然延长并渐出,用户确认 05；用于虔诚蓄满弹窗
06_veni_sancte_a.mp3,piety_ready_candidate,Veni Sancte Spiritus,Membeth,https://commons.wikimedia.org/wiki/File:Veni.sancte.spiritus.ogg,Public-Domain,rejected,,用户选择 05,未采用
07_veni_sancte_b.mp3,piety_ready_candidate,Veni Sancte Spiritus,Membeth,https://commons.wikimedia.org/wiki/File:Veni.sancte.spiritus.ogg,Public-Domain,rejected,,用户选择 05,未采用
08_synthetic_sacred_clean.mp3,piety_ready_candidate,Echoes from a Distant Past.wav,BuytheField,https://freesound.org/s/333930/,CC0,rejected,,用户选择 05,未采用
09_dies_irae_clean_a.mp3,piety_ready_candidate,Dies Irae,Membeth,https://commons.wikimedia.org/wiki/File:Dies.irae.ogg,Public-Domain,rejected,,用户选择 05,未采用
10_dies_irae_clean_b.mp3,piety_ready_candidate,Dies Irae,Membeth,https://commons.wikimedia.org/wiki/File:Dies.irae.ogg,Public-Domain,rejected,,用户选择 05,未采用
