file,category,source_title,author,source_url,license,decision,final_usage,edit_instruction,review_note
01_short_wood/01_existing_wood_hit_layered.mp3,building_action_wood,"Wooden Hit",jackyyang09,https://freesound.org/s/506718/,CC0,rejected,,不采用,"用户选择短木击 05"
01_short_wood/02_existing_wood_plank_hit.mp3,building_action_wood,"wood hit.wav",VitaWrap,https://freesound.org/s/345679/,CC-BY-4.0,rejected,,不采用,"用户选择短木击 05"
01_short_wood/03_hammer_knocking_short.mp3,building_action_wood,"hammering or knocking sound",deraj,https://freesound.org/s/202231/,CC0,rejected,,不采用,"用户选择短木击 05"
01_short_wood/04_single_hammer_on_wood.mp3,building_action_wood,"hammer on wood - Martelo em madeira",rodrigocswm,https://freesound.org/s/449427/,CC0,rejected,,不采用,"用户选择短木击 05"
01_short_wood/05_existing_nail_first_hit.mp3,building_action_wood,"nailing.wav",Mihacappy,https://freesound.org/s/850175/,CC0,confirmed,work_repair_and_upgrade_start,"完整 0.75 秒；修复 / 升级成功受理时从建筑位置播放一次","用户确认短木击 05"
02_construction_loop/01_existing_nailing_loop.mp3,building_construction_loop,"nailing.wav",Mihacappy,https://freesound.org/s/850175/,CC0,confirmed_reuse,,"复用既有 sfx_work_repair_and_upgrade_loop；不生成重复资产","用户确认施工循环 01"
02_construction_loop/02_hammer_on_wood_series.mp3,building_construction_loop,"hammer on wood - Martelo em madeira",rodrigocswm,https://freesound.org/s/449427/,CC0,rejected,,不采用,"用户选择施工循环 01"
02_construction_loop/03_distant_metal_wood_hammering.mp3,building_construction_loop,"hammering distant metal wood mono.wav","cognito perceptu",https://freesound.org/s/85239/,CC0,rejected,,不采用,"用户选择施工循环 01"
02_construction_loop/04_boatyard_wood_hammering.mp3,building_construction_loop,"Hammering Wood.wav",freekit,https://freesound.org/s/676210/,CC-BY-4.0,rejected,,不采用,"用户选择施工循环 01"
02_construction_loop/05_manual_construction_mix.mp3,building_construction_loop,"construction - home.wav",Eneasz,https://freesound.org/s/371334/,CC0,rejected,,不采用,"用户选择施工循环 01"
03_blacksmith_select/01_existing_blacksmith_first_strike.mp3,blacksmith_target_select,"Hammering on Anvil",SamsterBirdies,https://freesound.org/s/363169/,CC0,rejected,,不采用,"用户选择敲铁 04"
03_blacksmith_select/02_anvil_hit_clean.mp3,blacksmith_target_select,"Anvil Hit 1",michorvath,https://freesound.org/s/270589/,CC0,rejected,,不采用,"用户选择敲铁 04"
03_blacksmith_select/03_large_anvil_strike_a.mp3,blacksmith_target_select,"Large Anvil & Steel Hammer.wav",Benboncan,https://freesound.org/s/103628/,CC-BY-4.0,rejected,,不采用,"用户选择敲铁 04"
03_blacksmith_select/04_large_anvil_strike_b.mp3,blacksmith_target_select,"Large Anvil & Steel Hammer 1.wav",Benboncan,https://freesound.org/s/103629/,CC-BY-4.0,confirmed,work_blacksmith_target_selected,"完整 1.532 秒；铁匠铺成功选定非空制造目标时从建筑位置播放一次","用户确认敲铁 04"
03_blacksmith_select/05_large_anvil_strike_c.mp3,blacksmith_target_select,"Large Anvil & Steel Hammer 2.wav",Benboncan,https://freesound.org/s/103630/,CC-BY-4.0,rejected,,不采用,"用户选择敲铁 04"
04_completion_reference/01_existing_npc_level_up_chime.mp3,building_upgrade_complete,"Correct Bell",deleted_user_877451,https://freesound.org/s/538147/,CC0,confirmed_reuse,,"复用既有 sfx_ui_interaction_success_resource_collect；不生成重复资产","用户要求建筑升级完成复用 NPC 升级音"
