"asset_id","relative_path","status","duration_seconds","codec","sample_rate_hz","channels","peak_db","extension_ok","duration_ok","sample_rate_ok","channels_ok","peak_headroom_ok","decode_ok"
"sfx_ui_button_primary","assets/audio/ui/sfx_ui_button_primary_v01.wav","pass","0.086","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"sfx_work_blacksmith_loop","assets/audio/work/blacksmith/sfx_work_blacksmith_loop_v01.ogg","pass","5.000","vorbis","48000","1","-9.2","true","true","true","true","true","true"
"sfx_ambience_day_loop","assets/audio/ambience/time_of_day/sfx_ambience_day_loop_v01.ogg","pass","193.567","vorbis","48000","1","-9.9","true","true","true","true","true","true"
"sfx_ambience_night_loop","assets/audio/ambience/time_of_day/sfx_ambience_night_loop_v01.ogg","pass","337.375","vorbis","48000","1","-17.0","true","true","true","true","true","true"
"sfx_meteor_impact_one_shot","assets/audio/abilities/meteor/sfx_meteor_impact_one_shot_v01.wav","pass","12.048","pcm_s16le","48000","1","-8.7","true","true","true","true","true","true"
"voice_combat_friendly_female_hurt_voice","assets/audio/voice/combat_grunts/voice_combat_friendly_female_hurt_voice_v01.wav","pass","0.406","pcm_s16le","48000","1","-6.4","true","true","true","true","true","true"
"sfx_combat_sword_swing","assets/audio/combat/weapons/sfx_combat_sword_swing_v01.wav","pass","0.416","pcm_s16le","48000","1","-2.5","true","true","true","true","true","true"
"sfx_combat_polearm_swing","assets/audio/combat/weapons/sfx_combat_polearm_swing_v01.wav","pass","0.491","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"sfx_combat_bow_release","assets/audio/combat/weapons/sfx_combat_bow_release_v01.wav","pass","0.750","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"sfx_combat_hand_crossbow_release","assets/audio/combat/weapons/sfx_combat_hand_crossbow_release_v01.wav","pass","0.296","pcm_s16le","48000","1","-2.9","true","true","true","true","true","true"
"sfx_combat_arrow_bolt_tower_impact","assets/audio/combat/impacts/sfx_combat_arrow_bolt_tower_impact_v01.wav","pass","0.375","pcm_s16le","48000","1","-2.7","true","true","true","true","true","true"
"sfx_combat_ballista_release","assets/audio/combat/defense_devices/sfx_combat_ballista_release_v01.wav","pass","0.518","pcm_s16le","48000","1","-6.6","true","true","true","true","true","true"
"sfx_combat_ballista_bolt_whoosh","assets/audio/combat/projectiles/sfx_combat_ballista_bolt_whoosh_v01.wav","pass","0.426","pcm_s16le","48000","1","-3.2","true","true","true","true","true","true"
"sfx_combat_unconscious_fall","assets/audio/combat/impacts/sfx_combat_unconscious_fall_v01.wav","pass","0.828","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"sfx_combat_horse_death","assets/audio/combat/impacts/sfx_combat_horse_death_v01.wav","pass","2.066","pcm_s16le","48000","1","-7.8","true","true","true","true","true","true"
"sfx_combat_stone_structure_damage","assets/audio/combat/structures/sfx_combat_stone_structure_damage_v01.wav","pass","1.103","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"voice_emotion_none_female","assets/audio/voice/emotions/voice_emotion_none_female_v01.wav","pass","1.000","pcm_s16le","48000","1","-5.0","true","true","true","true","true","true"
"voice_emotion_happy_female","assets/audio/voice/emotions/voice_emotion_happy_female_v01.wav","pass","2.926","pcm_s16le","48000","1","-8.0","true","true","true","true","true","true"
"voice_emotion_relieved_female","assets/audio/voice/emotions/voice_emotion_relieved_female_v01.wav","pass","0.892","pcm_s16le","48000","1","-2.2","true","true","true","true","true","true"
"voice_emotion_angry_female","assets/audio/voice/emotions/voice_emotion_angry_female_v01.wav","pass","0.398","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"voice_emotion_none_male_01","assets/audio/voice/emotions/voice_emotion_none_male_01_v01.wav","pass","3.785","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"voice_emotion_none_male_02","assets/audio/voice/emotions/voice_emotion_none_male_02_v01.wav","pass","0.752","pcm_s16le","48000","1","-7.2","true","true","true","true","true","true"
"voice_emotion_happy_male","assets/audio/voice/emotions/voice_emotion_happy_male_v01.wav","pass","9.056","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"voice_emotion_relieved_male","assets/audio/voice/emotions/voice_emotion_relieved_male_v01.wav","pass","1.389","pcm_s16le","48000","1","-2.1","true","true","true","true","true","true"
"voice_emotion_angry_male","assets/audio/voice/emotions/voice_emotion_angry_male_v01.wav","pass","0.706","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"voice_emotion_sad_female","assets/audio/voice/emotions/voice_emotion_sad_female_v01.wav","pass","4.318","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"voice_emotion_afraid_female","assets/audio/voice/emotions/voice_emotion_afraid_female_v01.wav","pass","2.000","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"voice_emotion_surprised_female","assets/audio/voice/emotions/voice_emotion_surprised_female_v01.wav","pass","0.582","pcm_s16le","48000","1","-4.3","true","true","true","true","true","true"
"voice_emotion_confused_female","assets/audio/voice/emotions/voice_emotion_confused_female_v01.wav","pass","1.312","pcm_s16le","48000","1","-5.1","true","true","true","true","true","true"
"voice_emotion_determined_female","assets/audio/voice/emotions/voice_emotion_determined_female_v01.wav","pass","2.083","pcm_s16le","48000","1","-5.5","true","true","true","true","true","true"
"voice_emotion_sad_male","assets/audio/voice/emotions/voice_emotion_sad_male_v01.wav","pass","2.244","pcm_s16le","48000","1","-5.8","true","true","true","true","true","true"
"voice_emotion_afraid_male","assets/audio/voice/emotions/voice_emotion_afraid_male_v01.wav","pass","0.980","pcm_s16le","48000","1","-5.6","true","true","true","true","true","true"
"voice_emotion_surprised_male","assets/audio/voice/emotions/voice_emotion_surprised_male_v01.wav","pass","1.000","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"voice_emotion_confused_male","assets/audio/voice/emotions/voice_emotion_confused_male_v01.wav","pass","1.950","pcm_s16le","48000","1","-7.1","true","true","true","true","true","true"
"voice_emotion_determined_male","assets/audio/voice/emotions/voice_emotion_determined_male_v01.wav","pass","0.420","pcm_s16le","48000","1","-5.0","true","true","true","true","true","true"
"sfx_merchant_cart_arrival_departure","assets/audio/world/merchant/sfx_merchant_cart_arrival_departure_v01.ogg","pass","14.349","vorbis","48000","1","-2.6","true","true","true","true","true","true"
"sfx_horse_run","assets/audio/foley/horses/sfx_horse_run_v01.ogg","pass","9.901","vorbis","48000","1","-1.9","true","true","true","true","true","true"
"sfx_wood_structure_severe_collapse","assets/audio/combat/structures/sfx_wood_structure_severe_collapse_v01.wav","pass","1.850","pcm_s16le","48000","1","-2.9","true","true","true","true","true","true"
"sfx_stone_structure_severe_collapse","assets/audio/combat/structures/sfx_stone_structure_severe_collapse_v01.wav","pass","4.202","pcm_s16le","48000","1","-2.2","true","true","true","true","true","true"
"sfx_enemy_entry_stinger","assets/audio/combat/stingers/sfx_enemy_entry_stinger_v01.wav","pass","4.510","pcm_s16le","48000","1","-7.2","true","true","true","true","true","true"
"sfx_wave_clear_stinger","assets/audio/combat/stingers/sfx_wave_clear_stinger_v01.wav","pass","4.528","pcm_s16le","48000","1","-7.9","true","true","true","true","true","true"
"sfx_final_victory_stinger","assets/audio/combat/stingers/sfx_final_victory_stinger_v01.wav","pass","10.500","pcm_s16le","48000","1","-2.9","true","true","true","true","true","true"
"sfx_defeat_stinger","assets/audio/combat/stingers/sfx_defeat_stinger_v01.wav","pass","2.800","pcm_s16le","48000","1","-7.4","true","true","true","true","true","true"
"sfx_arrow_tower_release","assets/audio/combat/defense_devices/sfx_arrow_tower_release_v01.wav","pass","0.296","pcm_s16le","48000","1","-2.9","true","true","true","true","true","true"
"sfx_ballista_heavy_bolt_impact","assets/audio/combat/impacts/sfx_ballista_heavy_bolt_impact_v01.wav","pass","0.614","pcm_s16le","48000","1","-2.6","true","true","true","true","true","true"
"sfx_ui_panel_open","assets/audio/ui/sfx_ui_panel_open_v01.wav","pass","0.697","pcm_s16le","48000","1","-2.3","true","true","true","true","true","true"
"sfx_ui_panel_close","assets/audio/ui/sfx_ui_panel_close_v01.wav","pass","1.149","pcm_s16le","48000","1","-2.6","true","true","true","true","true","true"
"sfx_ui_interaction_success_resource_collect","assets/audio/ui/sfx_ui_interaction_success_resource_collect_v01.wav","pass","1.598","pcm_s16le","48000","1","-6.6","true","true","true","true","true","true"
"sfx_ui_toggle","assets/audio/ui/sfx_ui_toggle_v01.wav","pass","0.150","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"sfx_world_door_open","assets/audio/world/doors/sfx_world_door_open_v01.wav","pass","1.214","pcm_s16le","48000","1","-4.3","true","true","true","true","true","true"
"sfx_world_door_close","assets/audio/world/doors/sfx_world_door_close_v01.wav","pass","1.233","pcm_s16le","48000","1","-2.2","true","true","true","true","true","true"
"sfx_meteor_fall_one_shot","assets/audio/abilities/meteor/sfx_meteor_fall_one_shot_v01.wav","pass","5.964","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"sfx_work_garden_loop","assets/audio/work/garden/sfx_work_garden_loop_v01.ogg","pass","9.053","vorbis","48000","1","-2.1","true","true","true","true","true","true"
"sfx_work_dining_hall_loop","assets/audio/work/dining_hall/sfx_work_dining_hall_loop_v01.ogg","pass","8.960","vorbis","48000","1","-3.7","true","true","true","true","true","true"
"sfx_work_stable_with_horse_loop","assets/audio/work/stable/sfx_work_stable_with_horse_loop_v01.ogg","pass","9.604","vorbis","48000","1","-2.6","true","true","true","true","true","true"
"sfx_work_stable_without_horse_loop","assets/audio/work/stable/sfx_work_stable_without_horse_loop_v01.ogg","pass","30.919","vorbis","48000","1","-2.2","true","true","true","true","true","true"
"sfx_work_tavern_loop","assets/audio/work/tavern/sfx_work_tavern_loop_v01.ogg","pass","4.999","vorbis","48000","1","-1.8","true","true","true","true","true","true"
"sfx_work_workshop_loop","assets/audio/work/workshop/sfx_work_workshop_loop_v01.ogg","pass","86.967","vorbis","48000","1","-1.6","true","true","true","true","true","true"
"music_menu","assets/audio/music/menu/music_menu_v01.ogg","pass","87.921","vorbis","48000","2","-1.8","true","true","true","true","true","true"
"music_day_night","assets/audio/music/day/music_day_night_v01.ogg","pass","55.577","vorbis","48000","2","-1.9","true","true","true","true","true","true"
"music_battle","assets/audio/music/combat/music_battle_v01.ogg","pass","56.889","vorbis","48000","2","-1.7","true","true","true","true","true","true"
"sfx_work_training_loop","assets/audio/work/training/sfx_work_training_loop_v01.ogg","pass","9.789","vorbis","48000","1","-3.2","true","true","true","true","true","true"
"sfx_work_clinic_treatment_and_assist_loop","assets/audio/work/clinic/sfx_work_clinic_treatment_and_assist_loop_v01.ogg","pass","25.856","vorbis","48000","1","-1.8","true","true","true","true","true","true"
"sfx_work_clinic_doctor_reading_loop","assets/audio/work/clinic/sfx_work_clinic_doctor_reading_loop_v01.ogg","pass","9.364","vorbis","48000","1","-1.9","true","true","true","true","true","true"
"sfx_work_repair_and_upgrade_loop","assets/audio/work/construction/sfx_work_repair_and_upgrade_loop_v01.ogg","pass","17.579","vorbis","48000","1","-1.8","true","true","true","true","true","true"
"sfx_chapel_prayer_presence_loop","assets/audio/work/chapel/sfx_chapel_prayer_presence_loop_v01.ogg","pass","305.033","vorbis","48000","1","-2.7","true","true","true","true","true","true"
"sfx_chapel_mass_start_one_shot","assets/audio/work/chapel/sfx_chapel_mass_start_one_shot_v01.wav","pass","5.000","pcm_s16le","48000","1","-2.1","true","true","true","true","true","true"
"sfx_daily_eating_loop","assets/audio/work/dining_hall/sfx_daily_eating_loop_v01.ogg","pass","10.208","vorbis","48000","1","-2.6","true","true","true","true","true","true"
"sfx_daily_drinking_one_shot","assets/audio/work/dining_hall/sfx_daily_drinking_one_shot_v01.wav","pass","1.000","pcm_s16le","48000","1","-17.6","true","true","true","true","true","true"
"sfx_chapel_mass_in_progress_loop","assets/audio/work/chapel/sfx_chapel_mass_in_progress_loop_v01.ogg","pass","120.597","vorbis","48000","1","-1.7","true","true","true","true","true","true"
