runtime_event,asset_id,selection_rule,trigger_rule,spatial_mode,notes
ui_button_click,sfx_ui_button_primary,always,鼠标确认点击时播放,2d_ui,主木质点击
ui_select,sfx_ui_button_primary,always,完成选中时播放,2d_ui,悬停不播放
ui_volume_slider_release,sfx_ui_button_primary,always,音量拖动结束且鼠标松开时播放,2d_ui,必须使用调节后的音效音量作为即时试听
ui_success_popup_close,sfx_ui_button_primary,always,点击“太好了”关闭成功弹窗时播放,2d_ui,不重复播放交互成功声
ui_interaction_success,sfx_ui_interaction_success_resource_collect,always,绿色成功文字与成功弹窗同步出现时播放,2d_ui,普通与特殊对话交互成功共用
ui_resource_collect,sfx_ui_interaction_success_resource_collect,always,未来收取资源点击成功时播放,2d_ui,预留映射
world_heavy_door_open,sfx_world_door_open,always,重门开始打开时播放,3d_positioned,复用普通门打开声
world_heavy_door_close,sfx_world_door_close,always,重门关闭时播放,3d_positioned,复用普通门关闭声
merchant_cart_arrival,sfx_merchant_cart_arrival_departure,loop,商车进入场景并移动期间播放,3d_positioned,停止移动时立即停止
merchant_cart_departure,sfx_merchant_cart_arrival_departure,loop,商车离开场景并移动期间播放,3d_positioned,停止移动时立即停止
bgm_day,music_day_night,loop,进入白天经营音乐状态时播放,2d_music,与夜晚共用同一首
bgm_night,music_day_night,loop,进入夜晚经营音乐状态时播放,2d_music,与白天共用同一首
combat_arrow_impact,sfx_combat_arrow_bolt_tower_impact,always,普通箭命中时从命中点播放,3d_positioned,弩矢与箭塔投射物命中共用
combat_hand_crossbow_bolt_impact,sfx_combat_arrow_bolt_tower_impact,always,手弩矢命中时从命中点播放,3d_positioned,普通箭与箭塔投射物命中共用
combat_arrow_tower_projectile_impact,sfx_combat_arrow_bolt_tower_impact,always,箭塔投射物命中时从命中点播放,3d_positioned,普通箭与手弩矢命中共用
combat_arrow_whoosh,sfx_combat_arrow_and_hand_crossbow_bolt_whoosh,always,普通箭飞行时从投射物位置播放,3d_positioned,手弩矢破风共用
combat_hand_crossbow_bolt_whoosh,sfx_combat_arrow_and_hand_crossbow_bolt_whoosh,always,手弩矢飞行时从投射物位置播放,3d_positioned,普通箭破风共用
