"asset_id","runtime_path","source_title","author","source_url","license","source_file","source_sha256"
"sfx_ui_button_primary","assets/audio/ui/sfx_ui_button_primary_v01.wav","Wooden Click","BenjaminNelan","https://freesound.org/s/321083/","CC0","01_ui_wood_click_short_321083.mp3","c7d729b995f891f342fdaf5dd4a81c2927cd89a0604565a2636ee3e16f67009e"
"sfx_work_blacksmith_loop","assets/audio/work/blacksmith/sfx_work_blacksmith_loop_v01.ogg","Hammering on Anvil","SamsterBirdies","https://freesound.org/s/363169/","CC0","04_blacksmith_hammer_anvil_363169.mp3","627c31bd0eccbc799aec7106b009e333ff4062adf497543aecf5371590075b13"
"sfx_ambience_day_loop","assets/audio/ambience/time_of_day/sfx_ambience_day_loop_v01.ogg","Loopable Early Morning English Countryside Ambience","Psykophobia","https://freesound.org/s/641561/","CC0","08_day_english_countryside_641561.mp3","9b84281978222f09e900e91bc50180855fd54ea53355d1bf9764ec87269dbee9"
"sfx_ambience_night_loop","assets/audio/ambience/time_of_day/sfx_ambience_night_loop_v01.ogg","Night Ambience","parret","https://freesound.org/s/481883/","CC0","09_night_insects_481883.mp3","3833d883d8bc6c98a33949c5f7d3e2bd938d6b888768de18e8c8197a4df7831a"
"sfx_meteor_impact_one_shot","assets/audio/abilities/meteor/sfx_meteor_impact_one_shot_v01.wav","HUGE EXPLOSION","SamsterBirdies","https://freesound.org/s/733120/","CC0","12_meteor_impact_huge_explosion_733120.mp3","72b4377ec3b875653d94f673011930f94d5ee68b455c0e717c810cddf3df097a"
"voice_combat_friendly_female_hurt_voice","assets/audio/voice/combat_grunts/voice_combat_friendly_female_hurt_voice_v01.wav","grunt.wav","Reitanna","https://freesound.org/s/242623/","CC0","03_female_grunt_short_242623.mp3","55f44ee3fc567afe82b1e14dc59f14921e57992bc43ae8b3a66c2e1603d589b8"
"sfx_combat_sword_swing","assets/audio/combat/weapons/sfx_combat_sword_swing_v01.wav","Swosh Sword Swing","qubodup","https://freesound.org/s/59992/","CC0","06_sword_swing_bamboo_59992.mp3","9503cb8193bcaa66f594a0f6c764359527cabbe4020f15b058ee98509e38cfb5"
"sfx_combat_polearm_swing","assets/audio/combat/weapons/sfx_combat_polearm_swing_v01.wav","Stick-Swoosh Whoosh","Hitrison","https://freesound.org/s/216675/","CC-BY 4.0","12_polearm_thick_rod_216675.mp3","3ac459eab8732a53eeec34388d3eee6b1e00494f861c370f9b999c60eb864e16"
"sfx_combat_bow_release","assets/audio/combat/weapons/sfx_combat_bow_release_v01.wav","Bow Release (Bow and Arrow)","Ali_6868","https://freesound.org/s/384915/","CC0","01_bow_release_384915.mp3","ece6c098cb7a03438b494a3f3e2bdd8b629fe26555d5b39f1933d78731b13fbf"
"sfx_combat_hand_crossbow_release","assets/audio/combat/weapons/sfx_combat_hand_crossbow_release_v01.wav","Longbow Release 2.wav","saturdaysoundguy","https://freesound.org/s/394179/","CC0","02_longbow_release_394179.mp3","9d1c74b7adb869212bd7bc87d226ae74c8bd4a5b73dc7707b979b850c94b8a70"
"sfx_combat_arrow_bolt_tower_impact","assets/audio/combat/impacts/sfx_combat_arrow_bolt_tower_impact_v01.wav","Arrow Impact 2","Ali_6868","https://freesound.org/s/384913/","CC0","05_arrow_impact_2_384913.mp3","a20ff9de84ba5da4540b4b6762cb244afe2214925629ca7a3852690b97db8ed2"
"sfx_combat_ballista_release","assets/audio/combat/defense_devices/sfx_combat_ballista_release_v01.wav","Crossbow Fire VI","DUDE_X-SoundLab","https://freesound.org/s/752206/","CC0","08_crossbow_fire_mid_752206.mp3","0ec5dca82800189fed9c1875246303af21725aba64f6c55a80bffba454ab4606"
"sfx_combat_ballista_bolt_whoosh","assets/audio/combat/projectiles/sfx_combat_ballista_bolt_whoosh_v01.wav","Whoosh","qubodup","https://freesound.org/s/60013/","CC0","10_bolt_whoosh_short_60013.mp3","ebdb219e7f36f7e1aecdb045d6d8bdad059119af319863777c7302a69fa41a92"
"sfx_combat_unconscious_fall","assets/audio/combat/impacts/sfx_combat_unconscious_fall_v01.wav","Body falling on the ground 1","ihitokage","https://freesound.org/s/395331/","CC0","02_body_fall_ground_395331.mp3","791434afa4bf205129e7364a7228094106c3c6045d30361733ed0fcf8a089893"
"sfx_combat_horse_death","assets/audio/combat/impacts/sfx_combat_horse_death_v01.wav","Renill de cavall / Horse Neigh","Salsero_classic","https://freesound.org/s/826753/","CC0","07_horse_neigh_short_826753.mp3","e788ddfbff5820bdc116950585d3f36784d772007f6eb921618ccf95b8143b3c"
"sfx_combat_stone_structure_damage","assets/audio/combat/structures/sfx_combat_stone_structure_damage_v01.wav","Hit With Something.wav","brennanium135","https://freesound.org/s/360302/","CC0","11_rock_wall_hit_360302.mp3","1c821bd881956bd5eb2be0a0112fe150f2284c754bb1bf9e24f25be0c788e3f1"
"voice_emotion_none_female","assets/audio/voice/emotions/voice_emotion_none_female_v01.wav","3 feminine hmm","kanyonwyvern","https://freesound.org/s/727359/","CC0","01_female_none_three_hm_727359.mp3","261e9fce3d30766441b01ecea1158a263ccdc01bac40e43b13dcce87148a4ba1"
"voice_emotion_happy_female","assets/audio/voice/emotions/voice_emotion_happy_female_v01.wav","Girl Chuckle.wav","BlueSiren","https://freesound.org/s/377742/","CC0","06_female_happy_chuckle_377742.mp3","725a32fb663c353969587ae2081a88f263a8003e7c63f9c3acf8d09ad0cf8fd2"
"voice_emotion_relieved_female","assets/audio/voice/emotions/voice_emotion_relieved_female_v01.wav","woman sigh","threadzz","https://freesound.org/s/384992/","CC0","08_female_relieved_sigh_384992.mp3","d10e84c450e66bd3a80a64892ce1fa197a4e6ec6f7869bc88ab1a5aa91dc9f93"
"voice_emotion_angry_female","assets/audio/voice/emotions/voice_emotion_angry_female_v01.wav","Female_Grunt.wav","D001447733","https://freesound.org/s/464622/","CC-BY 3.0","10_female_angry_grunt_464622.mp3","13c5a382cde8544549ee216a19bc59408aa4130a5b6f3bf8d8ff440981fa09a9"
"voice_emotion_none_male_01","assets/audio/voice/emotions/voice_emotion_none_male_01_v01.wav","Hmm 2 SOS Paranormal.m4a","elcharrua","https://freesound.org/s/592839/","CC-BY 4.0","01_male_none_suspicious_592839.mp3","ca418026cee50fbd7e05e2330ec0914e17ff4454c1a40ce2199a41ca3d26c5f9"
"voice_emotion_none_male_02","assets/audio/voice/emotions/voice_emotion_none_male_02_v01.wav","OneHmm-question.wav","esperar","https://freesound.org/s/170779/","CC0","02_male_none_question_170779.mp3","6063f6181e4a12f40700dbd69198249b47072b6fd1964743fbe1afceddbd42a1"
"voice_emotion_happy_male","assets/audio/voice/emotions/voice_emotion_happy_male_v01.wav","Various Chuckles_Male.mp3","SnowFightStudios","https://freesound.org/s/643665/","CC0","04_male_happy_chuckles_643665.mp3","2b95a1862160c447d9aa178aaa8e2e7997326b6698aa909141b3f0a7a106e9dc"
"voice_emotion_relieved_male","assets/audio/voice/emotions/voice_emotion_relieved_male_v01.wav","A male sigh","randbsoundbites","https://freesound.org/s/799579/","CC0","09_male_relieved_short_799579.mp3","52dec88ef9958940fc5ff4c8162b8408b5b3f140bef1c56604549da20796d782"
"voice_emotion_angry_male","assets/audio/voice/emotions/voice_emotion_angry_male_v01.wav","Angry Grunt","Rocotilos","https://freesound.org/s/341489/","CC0","10_male_angry_short_341489.mp3","dc4aeb456ea1f274bc31e53a29b2b6d53f8190aadd6336dc88b8abbe7a02a8a4"
